Review Text,Rating
"great service aqua palms stayed aqua palms day 7 day cruise, bell staff excellent watching bags toured island prior check-in getting towels beach suggesting places visit, rooms nice roomy 100 provided view ocean small balcony, stay return oahu longer stay.very pleased aqua palms,  ",1
"grand flamenco just came august 8 grand flamenco hotel nice clean staff great, food repesentatives guess services counter terrible, all-inclusive hotels punta cana countries honestly seen bad food poor quality all-inclusive resorts does not offer lobster not day week.in general food terrible.the staff great exception guess services not helpfull all.we family members booked trip all-star vacations miami, not use people terrible family member booked encounter lot problems,  ",0
"picky picky does just got barcelo beach june 1 none problems, not explain just totally lucky-or different expectation laid attitude mix, check took 15-20 minutes, room 3316 facing beach quickly, no problems a/c safe, room basic tiled floors stocked mini bar, talk rude service, sorry believe, try speak little spanish smile maybe saying nametags-and try tell rude, bet changes, staff 11 days 3 days live resort, try conditions, want better labor conditions does smiley effort, pay alot, vacation great deal slice, problem hey pretty friendly smile try speak llittle spanish compliments, difficult posters here.definitely make sure bring tan lotion various spf tan, run pay 4-5 times price home resort stores, not run film reason.the food, buffet restaurants offer various foods-some good bland overheated dry lights good seconds, buffet restaurant offers fresh cooking grilling stations fish beef, need watch wait minutes solves problem dry overcooked food.you ask pina colada alcohol no problem add ask smile, presidente beer plentiful not diluted, time try types cocktails just ask alcohol por favor, wine dinner not, like cabernet red wine offered like light rose served cold, pay bottle cabernet did not chose stay confines plan, steak house good, pizza good, uva grill beach look beach farthest right best view, lunch everytday 1230 5pm, lobster tail calimari fish shrimp pizza day, early lunch hours line opens wait 330 4pm, lobster tail lunch times week, try different place breakfast try different ambiances views, btw no problem getting sick, just used bottled water ate salads fruit no bad effects.mexican restaurant not horrible, margaritas good, restaurant freezer ac cold, kicking chips guacomole margaritas fine me.went italian restaruant just ok. tried lasagna.casino gets lively late evening, saw really win big, beaches superb, pools clean, point dominicans weekends buy day pass 25 person really make pool area beach resort almmost overcrowded, disappears late sunday afternoon.snorkeling beach randomly interesting saw ray puffer fish boxfish thousands fish schools starfish, sailing fun, plenty chaise lounges beach, far right beach past uva grill uncrowded private seek privacy.rained early morning 20 minutes night 7 nights, no problem mosquitos, dominican market step resort property far left look beach palace beach, reasonable prices bargain, not shy 30 initial price smile, not sell unless make money not concerned insulting, wished good luck offered thumbs broad smile, larimar jewelry inepensive unique, think christmas help industrious people-please.did scuba dive, average reef dive 40 feet, chose not based reef, not epensive, 5 dive package 210 rental, wreck dive available did not go.i used internet desk lobby day 5 30 minutes, 8 hour, t1 connnection, no problems just hours operation not time, tipped maid dollars bartenders got know week, decompression vacation away, did, price unbeatable, none problems, relax enjoy polite not patronizing smile return.but want spend 40 better room food means, resort yes got deal, not mind trying mere fact enjoy trying new things, trip not worry reviews, probably numerous representative broad population did horrible eperience tend time vent, happy not time, enjoy rl,  ",1
"central comfy arrived early 11am check isnt 3pm left bags headed couple hours, returned just 3pm busy people checking que went quicky, tried check told room wasnt ready, wasnt impressed told receptionist just come long flight ireland, dissapeared 10mins returned said room, headed wasnt got bed realised smoking room requested non smoking room bedclothes smelt bad cigarette smoke, went reception said change room day, apart hassle n't need room fine large nyc standards clean decent size bathroom bath seperate shower flat screen tv, food restaurant good quite expensive drinks bar, return central 2mins walk times square, quiet comfy,  ",1
"loved loved loved, can__Ç_é_ say wonderful relaxing vacation excellence punta cana, searched quite bit looking book trip, planning lot variables looking, wanted luxury accommodations ocean view room gorgeous beach beautiful setting, excellence punta cana, moment arrived couldn__Ç_é_ help immediately relax, read reviews online decided junior suite oceanview excellence club, excellence club staff especially roberto not warmer helpful, awesome, got asked honeymoon suites available upgrade, roberto immediately took fell love, needless say upgraded, sprawling balcony hot tub 2 lounge chairs table amazing view ocean, definitely spent lot time balcony, balcony overlooked pools, luxury way, maid service awesome guy refilled mini-bar, asked liquor drinks liked kept stocked, addition staff constantly working keeping resort clean immaculate shape, amazing, food outstanding, liked mexican restaurant agave best lobster house coming close second, don__Ç_é_ really like lobster delicious, enjoyed grill, filet mignon, restaurants good, lunches beach delicious fresh tuna sandwiches bring beach pool world, feasibly stay lounge chair day drinks food delivered, bar opened 10am waiters/waitresses come drink day usually fruity didn__Ç_é_ feel like drinking alcohol, serviced beach really nice, staff warm kind, standard answer ask pleasure__Ç, did not encounter accommodating, tips not necessity appreciate, brought bag mini-chocolate candy like snickers twix, read don__Ç_é_ dominican republic, staff enjoyed gave handful, brought school supplies gave cleaning lady greatly appreciative.we spent time beach, little windy 2 days calmed, water tiny bit rough wasn__Ç_é_ bad, best things pool pool floats just lay water, trouble getting chair pool float.overall nothing bad say resort, ride airport little lengthy read not surprised, definitely worth, left resort said know coming, reading getting ready jealous, great trip,  ",1
"nice little resort just returned week sunscape say reading reviews pleasantly surprised, titled nice little resort exactly, not spread like walk long distances golf carts like resorts punta cana, small does n't mean not nice, check smooth greeted drinks room 15-20 minutes, room nothing spectacular did n't expect, room clean beds comfortable, want spectacular upscale resort spend extra money, beach nice yes seaweed mentioned problem cleaned continually, fortunate unlike problem getting beach chairs regardless time went beach, watersports signed catamaran able long delay, complaints food reviews no problems no got sick trouble finding liked eat, ate restuarants resort stay enjoyed, looking resort non-stop activities probably disappointed sunscape, activities going not extent resorts offer, fine mainly relax beach, ca n't speak entertainment night did not shows stay, preferred casino resort, sunscape process building casino disco future going site not necessary, did couple tours highly recommend jungle safari, alex tour guide absolutely great educated history culture economy people dominican, kept drinks flowing day, enjoyed stay no trouble recommending sunscape,  ",1
"soooo relaxing, went punta cana sept 17-sept 24 friends, amazing exceptions arrived punta cana airport greeted music people dressed costumes pictures, weather slightly overcast humid, boarded bus stop resort, arrived resort 1:30pm check not 3:00pm rooms not ready, got bracelets went buffet let tell food actually good, reviews read knowing not expect pleasantly surprised, finally got rooms 3:30pm stayed block 3 room 3407.. tried ask block 5 6 pay extra block 6 block 5 booked up.. rooms sleep anyways did n't think spending extra gon na worth it.. room clean double beds, overlooked convenience store located main buffet short walking distance pool beach, pool pool amazing clean pool bar packed, santiago soo funny, met alot nice germans french people.. bonjour france, hello germany, entertainment activites going, day water arobics alot fun aerobics beach bingo staff running doing something.. walk day carrying trays fruit pass freezies popcorn, shows night honestly n't great..the did amazing show.. dancers dance lit torches man blow flames mouth, night entertainment little disappointing, clubs n't open midnight club mangu located occidental grand flamenco 8 cab ride 6 admission plus need pay drinks lots fun, floors floor house/trance room actually dj spinning main floor packed playing hip hop rb salsa, club resort called ferro pretty bad, used cd really small.. make best, friday night beach bonfire party pretty good bonfire lasted like half hour, restaurant main buffet good buffet grill n't great.. went la cartes italian pretty good mexican n't good, thought breakfast buffet beast standard omellettes eggs cooked want make fresh donuts fresh baked breads plus crepes waffles daily, soooo yummy, wait staff cleaning bringing drinks.. hello victor best server, smiling beautiful eyes rooms mentioned stayed block 3 close main buffet close convenience store.. stayed standard room double beds english channels tbs cnn mtv watch tv anyways, no remote it.. tipped maid daily just added security did make beds, desk daily towels toilet paper safe broke, paid 20 usd safe plus 20 usd security deposit worth, did n't let small like ruin trip.beach beach n't great.. lot seaweed thought clean public beach understand why.. water calm nice, did banana boating 6usd person tell ya guy loves throw banana boat, excursion ranged 60usd did n't nothing looked interesting.. concludes review resort, overall great time relaxing, banana mama,  ",1
"great experience boyfriend booked hotel advance 67euro night, value place price amazing, clean comfortable hotel especially young couple like usually rough bit more.the staff friendly long not disturb sign door n't bothered cleaning service leave day.we got late night went road irish bar place serving 10:30pm, decent.another night wanted little snack dinner walked courtyard lidl supermarket grab convenient.the location hotel perfect, right 2 metro stops easy walking distance, quiet room too.i highly recommend hotel great deal enjoy,  ",1
"great location friendly service ca n't tell convenient location, close major attraction tapa bars couple blocks away puerta del sol center huge construction going right, adviced book hotel away puerta del sol area yes rooms located hotel looks pretty streets noisy, room located hotel no problem noise, room clean mini bar, bathroom really tiny clean, desk people eager help questions,  ",1
"central affordable modern hotel stayed hotel 41 week june 2004.hotel 41 clean modern hotel set heart nyc theatre district, central location makes good base explore manhattan.my room clean modern despite stone throw away hustle bustle times square perfectly quiet, staff times friendly helpful, thing point twin rooms did not appear available, probably best check important requirement.i recommended hotel friends hesitation,  ",1
